date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:58:18	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-64d66a64-e240024fcaaac1f6;gz%22	https://mellprivacy.site/robots.txt		(from )
11:58:19	20733/20733	---M-Z	200	added ('OK')	text/html	etag:%2250fd-678e7f3e-720af8753cfd1ff8;gz%22	https://mellprivacy.site/topsdoprivacy/	D:/Meus%20sites/HotBlows/Mel%20Maia/MelMaya/mellprivacy.site/topsdoprivacy/index.html	(from )
11:58:19	28356/28356	---M--	200	added ('OK')	image/png	etag:%226ec4-67865fa1-125b8120ac914220;;;%22	https://mellprivacy.site/topsdoprivacy/images/logo.png	D:/Meus%20sites/HotBlows/Mel%20Maia/MelMaya/mellprivacy.site/topsdoprivacy/images/logo.png	(from https://mellprivacy.site/topsdoprivacy/)
11:58:19	245020/245020	---M-Z	200	added ('OK')	application/x-javascript	etag:%223bd1c-67865fa1-8e87982d96ec17fa;gz%22	https://mellprivacy.site/topsdoprivacy/js/fbevents.js	D:/Meus%20sites/HotBlows/Mel%20Maia/MelMaya/mellprivacy.site/topsdoprivacy/js/fbevents.js	(from https://mellprivacy.site/topsdoprivacy/)
11:58:19	3178/3178	---M-Z	200	added ('OK')	text/css	etag:%22c6a-67865fa1-79871fe1928e3c0;gz%22	https://mellprivacy.site/topsdoprivacy/css/style.css	D:/Meus%20sites/HotBlows/Mel%20Maia/MelMaya/mellprivacy.site/topsdoprivacy/css/style.css	(from https://mellprivacy.site/topsdoprivacy/)
11:58:20	32796/32796	---MCZ	200	added ('OK')	application/javascript	etag:W/%22801c-19465f0f9d8%22	https://cdn.utmify.com.br/scripts/pixel/pixel.js	D:/Meus%20sites/HotBlows/Mel%20Maia/MelMaya/cdn.utmify.com.br/scripts/pixel/pixel.js	(from https://mellprivacy.site/topsdoprivacy/)
11:58:20	20558/20558	---M-Z	200	added ('OK')	image/svg+xml	etag:%22504e-67865fa1-9a48ad1599024f5d;gz%22	https://mellprivacy.site/topsdoprivacy/images/logo.svg	D:/Meus%20sites/HotBlows/Mel%20Maia/MelMaya/mellprivacy.site/topsdoprivacy/images/logo.svg	(from https://mellprivacy.site/topsdoprivacy/)
11:58:20	372/372	---M-Z	200	added ('OK')	application/x-javascript	etag:%22174-67865fa1-62189a9e9a90c24c;gz%22	https://mellprivacy.site/topsdoprivacy/js/req.js	D:/Meus%20sites/HotBlows/Mel%20Maia/MelMaya/mellprivacy.site/topsdoprivacy/js/req.js	(from https://mellprivacy.site/topsdoprivacy/)
11:58:20	166328/166328	---M--	200	added ('OK')	image/webp	etag:%22289b8-67865fa1-a49f6618ee907445;;;%22	https://mellprivacy.site/topsdoprivacy/images/banner.webp	D:/Meus%20sites/HotBlows/Mel%20Maia/MelMaya/mellprivacy.site/topsdoprivacy/images/banner.webp	(from https://mellprivacy.site/topsdoprivacy/)
11:58:20	377776/377776	---M--	200	added ('OK')	image/webp	etag:%225c3b0-67865fa1-8ca16558ae46d45a;;;%22	https://mellprivacy.site/topsdoprivacy/images/profile.webp	D:/Meus%20sites/HotBlows/Mel%20Maia/MelMaya/mellprivacy.site/topsdoprivacy/images/profile.webp	(from https://mellprivacy.site/topsdoprivacy/)
